dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
07/04/2020,7,4,2020,30561,1342,United_States_of_America,US,USA,327167434
06/04/2020,6,4,2020,25398,1146,United_States_of_America,US,USA,327167434
05/04/2020,5,4,2020,34272,1344,United_States_of_America,US,USA,327167434
04/04/2020,4,4,2020,32425,1104,United_States_of_America,US,USA,327167434
03/04/2020,3,4,2020,28819,915,United_States_of_America,US,USA,327167434
02/04/2020,2,4,2020,27103,1059,United_States_of_America,US,USA,327167434
01/04/2020,1,4,2020,24998,909,United_States_of_America,US,USA,327167434
31/03/2020,31,3,2020,21595,661,United_States_of_America,US,USA,327167434
30/03/2020,30,3,2020,18360,318,United_States_of_America,US,USA,327167434
29/03/2020,29,3,2020,19979,484,United_States_of_America,US,USA,327167434
28/03/2020,28,3,2020,18695,411,United_States_of_America,US,USA,327167434
27/03/2020,27,3,2020,16797,246,United_States_of_America,US,USA,327167434
26/03/2020,26,3,2020,13963,249,United_States_of_America,US,USA,327167434
25/03/2020,25,3,2020,8789,211,United_States_of_America,US,USA,327167434
29/02/2020,29,2,2020,6,0,United_States_of_America,US,USA,327167434
28/02/2020,28,2,2020,1,0,United_States_of_America,US,USA,327167434
27/02/2020,27,2,2020,6,0,United_States_of_America,US,USA,327167434
26/02/2020,26,2,2020,0,0,United_States_of_America,US,USA,327167434
25/02/2020,25,2,2020,18,0,United_States_of_America,US,USA,327167434
